PairedTagName,ATACName,DNAmethName,AllenIdName,all,H3K4me1,H3K9me3,H3K27ac,H3K27me3,ATAC,DNAMeth,HiC
094_SCH_Six6_Cdc14a_Gaba,094_SCH_Six6_Cdc14a_Gaba,094_SCH_Six6_Cdc14a_Gaba,094 SCH Six6 Cdc14a Gaba,all-male2388:924:1464_female1864:1217:647,H3K4me1-male754:158:596_female795:566:229,H3K9me3-male634:112:522_female470:231:239,H3K27ac-male387:293:94_female169:107:62,H3K27me3-male613:361:252_female430:313:117,1,1,1
096_PVHd_Gsc_Gaba,096_PVHd_Gsc_Gaba,096_PVHd_Gsc_Gaba,096 PVHd Gsc Gaba,all-male446:212:234_female242:158:84,H3K4me1-male133:51:82_female109:82:27,H3K9me3-male88:18:70_female66:32:34,H3K27ac-male88:62:26_female27:16:11,H3K27me3-male137:81:56_female40:28:12,0,0,0
097_PVHd_SBPV_Six3_Prox1_Gaba,097_PVHd-SBPV_Six3_Prox1_Gaba,097_PVHd-SBPV_Six3_Prox1_Gaba,097 PVHd-SBPV Six3 Prox1 Gaba,all-male1697:742:955_female1710:1142:568,H3K4me1-male546:156:390_female729:532:197,H3K9me3-male390:48:342_female386:184:202,H3K27ac-male317:245:72_female170:120:50,H3K27me3-male444:293:151_female425:306:119,1,1,1
098_AHN_SBPV_PVHd_Pdrm12_Gaba,098_AHN-SBPV-PVHd_Pdrm12_Gaba,098_AHN-SBPV-PVHd_Pdrm12_Gaba,098 AHN-SBPV-PVHd Pdrm12 Gaba,all-male4717:2101:2616_female2797:1768:1029,H3K4me1-male1545:574:971_female1264:875:389,H3K9me3-male1055:174:881_female632:260:372,H3K27ac-male875:582:293_female268:190:78,H3K27me3-male1242:771:471_female633:443:190,1,1,1
099_SBPV_PVa_Six6_Satb2_Gaba,099_SBPV-PVa_Six6_Satb2_Gaba,099_SBPV-PVa_Six6_Satb2_Gaba,099 SBPV-PVa Six6 Satb2 Gaba,all-male1234:525:709_female1827:1132:695,H3K4me1-male432:128:304_female854:581:273,H3K9me3-male289:57:232_female422:183:239,H3K27ac-male193:132:61_female189:116:73,H3K27me3-male320:208:112_female362:252:110,1,1,1
100_AHN_Onecut3_Gaba,100_AHN_Onecut3_Gaba,100_AHN_Onecut3_Gaba,100 AHN Onecut3 Gaba,all-male1485:616:869_female938:575:363,H3K4me1-male472:151:321_female396:274:122,H3K9me3-male340:39:301_female207:83:124,H3K27ac-male257:175:82_female107:74:33,H3K27me3-male416:251:165_female228:144:84,1,1,1
101_ZI_Pax6_Gaba,101_ZI_Pax6_Gaba,101_ZI_Pax6_Gaba,101 ZI Pax6 Gaba,all-male6042:2792:3250_female3227:1918:1309,H3K4me1-male1864:695:1169_female1325:893:432,H3K9me3-male1393:277:1116_female811:328:483,H3K27ac-male1156:783:373_female372:242:130,H3K27me3-male1629:1037:592_female719:455:264,1,1,1
102_DMH_LHA_Gsx1_Gaba,102_DMH-LHA_Gsx1_Gaba,102_DMH-LHA_Gsx1_Gaba,102 DMH-LHA Gsx1 Gaba,all-male1609:704:905_female1276:778:498,H3K4me1-male510:180:330_female549:372:177,H3K9me3-male337:57:280_female326:125:201,H3K27ac-male319:205:114_female147:106:41,H3K27me3-male443:262:181_female254:175:79,1,1,1
103_PVHd_DMH_Lhx6_Gaba,103_PVHd-DMH_Lhx6_Gaba,103_PVHd-DMH_Lhx6_Gaba,103 PVHd-DMH Lhx6 Gaba,all-male1216:572:644_female721:416:305,H3K4me1-male383:154:229_female292:194:98,H3K9me3-male290:60:230_female169:62:107,H3K27ac-male204:143:61_female84:51:33,H3K27me3-male339:215:124_female176:109:67,0,0,0
104_TU_ARH_Otp_Six6_Gaba,104_TU-ARH_Otp_Six6_Gaba,104_TU-ARH_Otp_Six6_Gaba,104 TU-ARH Otp Six6 Gaba,all-male3230:1392:1838_female2634:1583:1051,H3K4me1-male1054:406:648_female1087:716:371,H3K9me3-male763:136:627_female629:252:377,H3K27ac-male587:379:208_female309:209:100,H3K27me3-male826:471:355_female609:406:203,1,1,1
