023_SUB_ProS_Glut,H3K4me1,Female-shufB
151_TH_Prkcd_Grin2c_Glut,H3K9me3,Male-shufA
026_NLOT_Rho_Glut,H3K4me1,Male-shufB
058_PAL_STR_Gaba_Chol,H3K4me1,Male-shufA
127_DMH_LHA_Vgll2_Glut,H3K27ac,Female-shufA
070_LSX_Prdm12_Slit2_Gaba,H3K4me1,Male-shufB
054_STR_Prox1_Lhx6_Gaba,H3K27me3,Male-shufA
216_MB_MY_Tph2_Glut_Sero,H3K4me1,Male-shufB
076_MEA_BST_Lhx6_Nfib_Gaba,H3K27ac,Male-shufA
141_PH_SUM_Foxa1_Glut,H3K4me1,Male-shufB
046_Vip_Gaba,H3K27ac,Male-shufA
098_AHN_SBPV_PVHd_Pdrm12_Gaba,H3K4me1,Female-shufA
062_STR_D2_Gaba,H3K27ac,Female-shufA
096_PVHd_Gsc_Gaba,H3K27me3,Male-shufA
156_MB_ant_ve_Dmrta2_Glut,H3K27ac,Female-shufA
061_STR_D1_Gaba,H3K27me3,Female-shufB
109_LGv_ZI_Otx2_Gaba,H3K27me3,Female-shufB
135_STN_PSTN_Pitx2_Glut,H3K4me1,Male-shufB
215_SNc_VTA_RAmb_Foxa1_Dopa,H3K4me1,Female-shufA
061_STR_D1_Gaba,H3K9me3,Male-shufA
094_SCH_Six6_Cdc14a_Gaba,H3K9me3,Female-shufB
063_STR_D1_Sema5a_Gaba,H3K27ac,Male-shufB
149_PVT_PT_Ntrk1_Glut,H3K9me3,Male-shufA
027_L6b_EPd_Glut,H3K27ac,Male-shufA
124_MPN_MPO_PVpo_Hmx2_Glut,H3K4me1,Female-shufA
138_PH_Pitx2_Glut,H3K9me3,Female-shufB
080_CEA_AAA_BST_Six3_Sp9_Gaba,H3K9me3,Male-shufA
026_NLOT_Rho_Glut,H3K27ac,Female-shufB
118_ADP_MPO_Trp73_Glut,H3K4me1,Male-shufA
016_CA1_ProS_Glut,H3K9me3,Male-shufB
010_IT_AON_TT_DP_Glut,H3K4me1,Male-shufA
122_LHA_MEA_Otp_Glut,H3K9me3,Male-shufB
061_STR_D1_Gaba,H3K9me3,Female-shufA
055_STR_Lhx8_Gaba,H3K27ac,Male-shufB
033_NP_SUB_Glut,H3K4me1,Female-shufB
004_L6_IT_CTX_Glut,H3K4me1,Female-shufB
231_IPN_LDT_Vsx2_Nkx6_1_Glut,H3K4me1,Male-shufB
151_TH_Prkcd_Grin2c_Glut,H3K27ac,Female-shufA
074_MEA_BST_Lhx6_Sp9_Gaba,H3K9me3,Female-shufB
034_NP_PPP_Glut,H3K27me3,Female-shufB
050_Lamp5_Lhx6_Gaba,H3K27me3,Female-shufB
142_HY_Gnrh1_Glut,H3K9me3,Female-shufA
050_Lamp5_Lhx6_Gaba,H3K27ac,Female-shufB
088_BST_Tac2_Gaba,H3K27ac,Male-shufA
002_IT_EP_CLA_Glut,H3K27me3,Male-shufB
075_MEA_BST_Lhx6_Nr2e1_Gaba,H3K9me3,Female-shufA
048_RHP_COA_Ndnf_Gaba,H3K9me3,Male-shufB
058_PAL_STR_Gaba_Chol,H3K4me1,Female-shufA
085_SI_MPO_LPO_Lhx8_Gaba,H3K4me1,Female-shufA
050_Lamp5_Lhx6_Gaba,H3K27me3,Male-shufB
047_Sncg_Gaba,H3K4me1,Female-shufA
096_PVHd_Gsc_Gaba,H3K4me1,Female-shufA
029_L6b_CTX_Glut,H3K27me3,Male-shufB
023_SUB_ProS_Glut,H3K9me3,Male-shufA
080_CEA_AAA_BST_Six3_Sp9_Gaba,H3K4me1,Male-shufA
090_BST_MPN_Six3_Nrgn_Gaba,H3K27me3,Male-shufA
101_ZI_Pax6_Gaba,H3K4me1,Female-shufB
055_STR_Lhx8_Gaba,H3K4me1,Female-shufB
135_STN_PSTN_Pitx2_Glut,H3K27ac,Male-shufB
023_SUB_ProS_Glut,H3K27me3,Female-shufA
113_MEA_COA_BMA_Ccdc42_Glut,H3K4me1,Female-shufA
004_L6_IT_CTX_Glut,H3K4me1,Male-shufB
086_MPO_ADP_Lhx8_Gaba,H3K9me3,Male-shufA
029_L6b_CTX_Glut,H3K27ac,Male-shufA
159_IF_RL_CLI_PAG_Foxa1_Glut,H3K27me3,Female-shufA
016_CA1_ProS_Glut,H3K27me3,Male-shufB
075_MEA_BST_Lhx6_Nr2e1_Gaba,H3K4me1,Female-shufA
200_PAG_ND_PCG_Onecut1_Gaba,H3K4me1,Female-shufB
050_Lamp5_Lhx6_Gaba,H3K27ac,Male-shufA
016_CA1_ProS_Glut,H3K27ac,Female-shufB
166_MRN_Pou3f1_C1ql4_Glut,H3K27ac,Female-shufA
215_SNc_VTA_RAmb_Foxa1_Dopa,H3K4me1,Female-shufB
046_Vip_Gaba,H3K27me3,Female-shufB
049_Lamp5_Gaba,H3K9me3,Female-shufB
103_PVHd_DMH_Lhx6_Gaba,H3K9me3,Female-shufB
141_PH_SUM_Foxa1_Glut,H3K27ac,Female-shufB
120_MEA_Otp_Foxp2_Glut,H3K27ac,Female-shufA
083_CEA_BST_Rai14_Pdyn_Crh_Gaba,H3K27ac,Male-shufB
081_ACB_BST_FS_D1_Gaba,H3K27ac,Male-shufB
134_PH_ant_LHA_Otp_Bsx_Glut,H3K27me3,Female-shufA
070_LSX_Prdm12_Slit2_Gaba,H3K9me3,Female-shufA
138_PH_Pitx2_Glut,H3K27ac,Female-shufB
