,Gene,RTS,Priority
414,CRLF1,0.088819674,Y
415,LOC101929034,0.088509812,Y
416,C1QTNF8,0.08802088,Y
417,OTOP3,0.087947175,Y
418,LOC105373021,0.087497679,Y
419,MIR2277,0.087015409,Y
420,DNAJB8-AS1,0.086832218,Y
421,ADGRA1,0.086629016,Y
422,LINC01081,0.086551754,Y
423,SALL3,0.086381119,Y
424,LOC100130587,0.086334232,Y
425,DBH,0.085932738,Y
426,BLACAT1,0.085829499,Y
427,ZDHHC22,0.085751238,Y
428,ITPKA,0.085448737,Y
429,LOC101927583,0.084571599,Y
430,FLJ32255,0.084422287,Y
431,FAM43B,0.083681578,Y
432,FLI1,0.083659599,Y
433,RASGRF1,0.08243659,Y
434,CCDC33,0.082142061,Y
435,CDK5R2,0.082141323,Y
436,VSIG2,0.081884539,Y
437,C1QL4,0.08134824,Y
438,FZD10-AS1,0.081238042,Y
439,SLFN12L,0.081161837,Y
440,DNAAF3,0.081017582,Y
441,BCOR,0.080788303,Y
442,LINC01511,0.080569527,Y
443,PLXNA4,0.080250226,Y
444,HOXC4,0.08021007,Y
445,NKX3-1,0.079931979,Y
446,NRXN2,0.079668871,Y
447,HOXC12,0.079594623,Y
448,SYPL2,0.078953031,Y
449,ZNF503-AS2,0.078461197,Y
450,HSF4,0.078193391,Y
451,PDGFB,0.078154645,Y
452,HOXC13,0.078118866,Y
453,LOC284395,0.0779843,Y
454,SSTR4,0.077971732,Y
455,SPR,0.077700771,Y
456,C2orf70,0.077530725,Y
457,SLC17A7,0.076728005,Y
458,PHF21B,0.076612026,Y
459,EGR4,0.075943125,Y
460,HOXC5,0.075853535,Y
461,ACAN,0.075557315,Y
462,LOC101929154,0.075548054,Y
463,HOXC6,0.075333947,Y
464,FBXL21,0.075174049,Y
465,CACNA1C,0.075138913,Y
466,HOXC8,0.074852547,Y
467,THBD,0.074730545,Y
468,GABRD,0.074606845,Y
469,SEMA5B,0.07446525,Y
470,SMUG1,0.074319867,Y
471,KCNT1,0.074261528,Y
472,CALY,0.074154887,Y
473,BMP4,0.0739907,Y
474,TNNI3,0.073512737,Y
475,PDYN,0.073493972,Y
476,LINC01314,0.073414062,Y
477,MEIS1,0.073267608,Y
478,EBF4,0.072567574,Y
479,KCND3,0.072307624,Y
480,CYP26B1,0.071805635,Y
481,MMP9,0.071743418,Y
482,ZBTB7C,0.071677401,Y
483,MIR6165,0.071151273,Y
484,DNAJB8,0.071071821,Y
485,KCNH2,0.070924986,Y
486,DOK7,0.070781723,Y
487,WNT6,0.070620024,Y
488,AQP5,0.07019438,Y
489,TCF21,0.070030049,Y
490,MIR96,0.069657863,Y
491,PTPRH,0.069332956,Y
492,MIR615,0.069176385,Y
493,LRRC4B,0.06892409,Y
494,LINC01117,0.068920726,Y
495,SALL1,0.068856616,Y
496,KIF1A,0.068707566,Y
497,LINC01276,0.06866794,Y
498,EXOC6,0.068466029,Y
499,MIR183,0.068162969,Y
500,HMX2,0.068022615,Y
501,BUB3,0.067930037,Y
502,KCNJ10,0.067037261,Y
503,ADRA2C,0.067027249,Y
504,TMC2,0.066894931,Y
505,NAT8L,0.066418298,Y
506,PRKAG1,0.066397116,Y
507,HOXA10-HOXA9,0.066299979,Y
508,SP9,0.066168539,Y
509,MSX2P1,0.065957479,Y
510,LOC100128770,0.065232013,Y
511,BICDL2,0.065129832,Y
512,ZIC2,0.065077838,Y
513,ZSCAN9,0.064986967,Y
514,RAET1L,0.064876047,Y
515,CABP7,0.064654731,Y
516,LINC00208,0.064504502,Y
517,EPS8L1,0.064330307,Y
518,NSG1,0.063022824,Y
519,CDH4,0.062726255,Y
520,PAX3,0.062234445,Y
521,MT1G,0.06202454,Y
522,ARHGAP19-SLIT1,0.061806308,Y
523,NEUROD1,0.061722008,Y
524,HOXA10,0.061670236,Y
525,MMP25,0.061586803,Y
526,KCNA1,0.06130851,Y
527,MT1H,0.061303442,Y
528,IGSF9B,0.060993605,Y
529,HNF1B,0.060955147,Y
530,KCNA2,0.060866844,Y
531,KCNJ4,0.060719399,Y
532,CD300E,0.060621223,Y
533,SEPT5-GP1BB,0.06030127,Y
534,ADORA1,0.060271397,Y
535,CD40,0.059965447,Y
536,LINC00554,0.059550035,Y
537,PVALB,0.05885327,Y
538,MT1A,0.058794356,Y
539,DLK1,0.058430463,Y
540,RTBDN,0.058226491,Y
541,LOC648987,0.058171753,Y
542,RGMA,0.057849334,Y
543,SYN2,0.057656435,Y
544,ESX1,0.056661898,Y
545,BSX,0.056150921,Y
546,C4orf48,0.05591559,Y
547,OR1F1,0.05590761,Y
548,ESPNP,0.055866633,Y
549,SLC6A1,0.055558272,Y
550,NTSR1,0.055235663,Y
551,WNT7B,0.055172556,Y
552,LOC101927740,0.055055697,Y
553,KCNIP1,0.054983285,Y
554,CACNA1I,0.054846675,Y
555,BHLHE22,0.054745667,Y
556,LINC01391,0.054734734,Y
557,RHCG,0.054713748,Y
558,KLF14,0.054255372,Y
559,RGS20,0.054160856,Y
560,TLX1,0.053808584,Y
561,LOC100130238,0.053719709,Y
562,MIR182,0.053643011,Y
563,NEFL,0.05295651,Y
564,ATP6V1B1,0.052884071,Y
565,CHD5,0.05260946,Y
566,KCNJ5,0.052432989,Y
567,MT1F,0.052396104,Y
568,MIR670,0.052228545,Y
569,FGF3,0.052197013,Y
570,EGFLAM,0.052097558,Y
571,KIRREL3,0.051510448,Y
572,TROAP,0.051422059,Y
573,HOXA11,0.051411225,Y
574,NT5C1A,0.05132496,Y
575,PCK1,0.051065339,Y
576,OTOP2,0.050727625,Y
577,FGF8,0.050563655,Y
578,LMO2,0.050554254,Y
579,CBLN1,0.05045376,Y
580,KIF19,0.050248823,Y
581,MT1IP,0.050240959,Y
582,ISLR2,0.050027622,Y
583,LINC01056,0.049898622,Y
584,PEBP4,0.049723944,Y
585,WNT3,0.049554855,Y
586,PRDM14,0.049379711,Y
587,LRCOL1,0.049309185,Y
588,LOC101928509,0.049200613,Y
589,MIR9-3,0.049162271,Y
590,EBF1,0.049020632,Y
591,CELF5,0.048688907,Y
592,PDE1B,0.04866612,Y
593,MIR1268A,0.048559936,Y
594,KCNK13,0.048530765,Y
595,CACNA1C-IT2,0.048009827,Y
