L1_2_3_4,bestld,note
c5000305,r0.6_seed0,r0.1_seed0
c5000306,r0.3_seed1,auto
c5000307,r0.6_seed0,r0.1_seed0
c5000308,r1.0_seed1,r0.1_seed0
c5000309,r1.0_seed6,r0.1_seed0
c5000310,r0.3_seed5,auto
c5000311,r0.7_seed4,r0.1_seed0
c5000312,r0.6_seed9,r0.1_seed0
c5000313,r1.1_seed4,r0.1_seed0
c5000314,r0.6_seed7,r0.1_seed0
c5000315,r0.8_seed9,r0.1_seed0
c5000316,r1.4_seed5,r0.1_seed0
c5000317,r0.6_seed3,r0.1_seed0
c5000318,r1.1_seed9,r0.1_seed0
c5000319,r1.1_seed0,r0.1_seed0
c5000320,r0.6_seed2,r0.1_seed0
c5000321,r0.4_seed0,auto
c5000322,r0.7_seed2,r0.1_seed0
c5000323,r1.3_seed8,r0.1_seed0
c5000324,r0.7_seed4,r0.1_seed0
c5000500,r0.6_seed4,r0.1_seed0
c5000501,r0.1_seed0,r0.1_seed0
c5000502,r0.8_seed7,r0.1_seed0
c5000503,r0.7_seed0,r0.1_seed0
c5000600,r0.5_seed5,r0.1_seed0
c5000601,r0.1_seed0,r0.1_seed0
c501,r0.1_seed0,r0.7_seed9
c502,r0.1_seed8,auto
c503,r0.3_seed9,auto
c5030100,r0.6_seed8,r0.1_seed0
c5030101,r0.4_seed5,auto
c504,r0.4_seed3,auto
c505,r0.6_seed9,auto
c506,r0.2_seed8,auto
c507,r0.4_seed1,auto
c508,r0.6_seed0,auto
c509,r0.4_seed0,auto
c510,r0.4_seed1,auto
c6,r0.1_seed7,r0.2_seed9
c600,r0.1_seed7,r0.7_seed2
c601,r0.2_seed7,r0.7_seed4
c602,r1.0_seed6,auto
c603,r0.2_seed5,r0.5_seed5
c604,r0.1_seed0,r0.5_seed4
c605,r0.2_seed2,r0.4_seed0
c606,r1.4_seed8,auto
c607,r0.2_seed4,r0.6_seed1
c608,r0.1_seed3,r0.8_seed2
c609,r0.6_seed6,r0.1_seed0
c610,r0.8_seed4,auto
c611,r1.9_seed6,auto
c612,r0.4_seed3,auto
c613,r0.9_seed3,auto
c614,r0.4_seed6,r0.1_seed0
c615,r0.2_seed0,auto
c616,r0.9_seed1,auto
c617,r0.6_seed4,auto
c618,r0.3_seed4,auto
c619,r0.5_seed1,r0.1_seed0
c620,r1.3_seed4,r0.6_seed7
c621,r0.2_seed4,r0.4_seed2
c7,r0.2_seed5,auto
c700,r0.3_seed0,r0.5_seed7
c701,r0.4_seed6,r0.5_seed2
c702,r0.4_seed7,auto
c703,r0.3_seed4,auto
c704,r0.2_seed0,auto
c7040000,r0.5_seed3,auto
c7040001,r1.1_seed5,r0.1_seed0
c705,r0.6_seed9,auto
c7050000,r0.6_seed9,r0.1_seed0
c7050001,r0.5_seed5,r0.1_seed0
c7050002,r1.9_seed9,r0.1_seed0
c706,r0.8_seed2,r0.1_seed0
c7060000,r0.6_seed0,r0.1_seed0
c7060001,r0.7_seed4,r0.1_seed0
c707,r0.3_seed4,auto
c708,r0.3_seed0,auto
c709,r0.5_seed5,r0.6_seed6
c710,r0.3_seed8,r0.4_seed0
c8,r0.1_seed4,r0.3_seed9
c800,r1.0_seed1,auto
c801,r0.5_seed7,auto
c802,r0.1_seed3,r0.6_seed0
c803,r0.2_seed3,auto
c804,r0.2_seed0,auto
c805,r0.6_seed6,auto
c806,r0.2_seed5,r0.6_seed1
c807,r1.9_seed7,auto
c808,r0.3_seed7,auto
c809,r0.9_seed2,auto
c9,r0.2_seed0,r0.3_seed9;dirty
c900,r0.1_seed0,r0.6_seed4
c901,r0.1_seed8,r0.4_seed7
c9010300,r0.4_seed2,r0.1_seed0
c9010301,r0.3_seed9,r0.7_seed0
c9010302,r0.3_seed0,auto
c902,r0.5_seed3,auto
c9020000,r0.4_seed8,r0.6_seed5
c9020001,r0.2_seed4,auto
c903,r0.2_seed0,auto
