L1_2_3,bestld,note
c20510,r0.1_seed0,r1.3_seed6;noL5
c20600,r0.7_seed6,auto;noL5
c20601,r0.1_seed0,r0.7_seed2;noL5
c20602,r0.6_seed6,auto;noL5
c20603,r0.5_seed2,auto;noL5
c20604,r0.7_seed9,auto;noL5
c20605,r0.6_seed5,auto;noL5
c20606,r0.8_seed7,auto;noL5
c20607,r0.4_seed3,r0.7_seed4;noL5
c20608,r0.5_seed3,auto;noL5
c20609,r0.4_seed0,r0.8_seed2;noL5
c20610,r0.8_seed1,auto;noL5
c20611,r0.5_seed4,auto;noL5
c20612,r0.7_seed9,auto;noL5
c20613,r0.1_seed0,r0.5_seed0;noL5
c20614,r0.1_seed0,r0.5_seed6;noL5
c20615,r0.4_seed0,auto;noL5
c20616,r0.1_seed0,r0.6_seed9;noL5
c20617,r0.1_seed0,r0.5_seed6;noL5
c20618,r0.4_seed0,r0.9_seed6;noL5
c20619,r0.6_seed4,auto;noL5
c20620,r0.7_seed0,auto;noL5
c20621,r0.5_seed2,auto;noL5
c20622,r0.5_seed4,auto;noL5
c20623,r0.1_seed0,r0.4_seed1;noL5
c20624,r0.6_seed7,auto;noL5
c20625,r0.4_seed3,auto;noL5;dirty
c20626,r0.1_seed0,r0.6_seed6;noL5
c20627,r0.1_seed0,r0.7_seed3;noL5
c20628,r0.4_seed1,auto;noL5
c20629,r0.1_seed0,r0.7_seed0;noL5
c20630,r0.1_seed0,r0.7_seed7;noL5
c20631,r0.1_seed0,r1.2_seed6;noL5
c20632,r0.1_seed0,r1.3_seed3;noL5
c20633,r0.1_seed0,r1.1_seed7;noL5
c20700,r0.6_seed7,r0.3_seed3;noL5
c20701,r0.1_seed0,r0.7_seed7;noL5
c20702,r0.2_seed5,auto;noL5
c20703,r0.4_seed1,auto;noL5
c20800,r0.7_seed4,r0.5_seed1;noL5
c20801,r0.4_seed2,auto;noL5
c20802,r0.4_seed1,r0.3_seed3;noL5
c20803,r0.1_seed0,r0.8_seed9;noL5
c20804,r0.1_seed0,r0.7_seed3;noL5
c20805,r0.1_seed0,r0.7_seed6;noL5
c20806,r0.1_seed0,r1.3_seed2;noL5
c20807,r0.1_seed0,r0.7_seed4;noL5
c20808,r0.1_seed0,r0.6_seed2;noL5
c20900,r0.8_seed3,r0.3_seed3;noL5
c20901,r0.1_seed0,r0.6_seed1;noL5
c20902,r0.3_seed0,auto;noL5
c21000,r0.1_seed0,r0.6_seed2;noL5
c21001,r0.1_seed0,r0.7_seed8;noL5
c21002,r0.1_seed0,r0.7_seed2;noL5
c21003,r0.1_seed0,r0.7_seed9;noL5
c21004,r0.1_seed0,r0.8_seed4;noL5
c21005,r0.3_seed0,auto;noL5
c21006,r0.1_seed0,r1.5_seed3;noL5
c21007,r0.9_seed9,auto;noL5;dirty
c21008,r0.3_seed0,auto;noL5
c21009,r0.1_seed0,r0.7_seed0;noL5
c21010,r0.1_seed0,r1.1_seed6;noL5
c21011,r0.1_seed0,r1.4_seed1;noL5
c3,r0.8_seed5,r0.1_seed2;noL5
c300,r0.4_seed4,auto;noL5
c30000,r0.8_seed0,r0.3_seed4;noL5
c30001,r0.5_seed7,r0.4_seed8;noL5
c30002,r0.6_seed7,r0.3_seed4;noL5
c30003,r0.7_seed3,r0.4_seed7;noL5
c30004,r0.8_seed1,auto;noL5
c301,r0.6_seed9,auto;noL5
c30100,r0.7_seed7,r0.3_seed3;noL5
c30101,r1.0_seed7,r0.4_seed9;noL5
c30102,r0.6_seed5,auto;noL5
c30103,r0.4_seed9,auto;noL5
c302,r0.7_seed3,r0.2_seed2;noL5
c30200,r0.5_seed6,auto;noL5
c30201,r0.4_seed6,r0.2_seed0;noL5
c30202,r0.5_seed0,r0.3_seed0;noL5
c30203,r0.7_seed6,r0.2_seed2;noL5
c303,r0.8_seed9,r0.3_seed9;noL5
c30300,r0.8_seed5,auto;noL5
c30301,r0.4_seed9,auto;noL5
c30302,r1.0_seed7,r0.3_seed0;noL5
c30303,r0.8_seed5,r0.2_seed5;noL5
