L1_2_3,bestld,note
c70101,r0.7_seed5,r0.1_seed0;noL5
c70102,r0.7_seed7,r0.1_seed0;noL5
c70103,r0.7_seed3,r0.1_seed0;noL5
c70104,r0.8_seed9,r0.1_seed0;noL5
c70105,r0.8_seed0,r0.1_seed0;noL5
c70106,r0.8_seed1,r0.1_seed0;noL5
c70107,r0.8_seed2,r0.1_seed0;noL5
c70108,r0.7_seed9,r0.1_seed0;noL5
c70109,r0.7_seed6,auto;noL5
c70110,r0.8_seed9,r0.1_seed0;noL5
c70111,r0.4_seed0,auto;noL5
c70112,r0.7_seed7,r0.1_seed0;noL5
c70113,r0.7_seed7,r0.1_seed0;noL5
c70114,r0.7_seed3,r0.1_seed0;noL5
c70115,r0.2_seed0,auto;noL5
c70116,r0.7_seed9,r0.1_seed0;noL5
c70117,r0.7_seed0,r0.1_seed0;noL5
c70200,r0.5_seed5,r0.7_seed9;noL5
c70201,r0.7_seed2,r0.1_seed0;noL5
c70202,r0.7_seed8,r0.1_seed0;noL5
c70203,r0.8_seed6,r0.1_seed0;noL5
c70204,r1.1_seed2,r0.1_seed0;noL5
c70205,r1.1_seed2,r0.1_seed0;noL5
c70206,r1.2_seed2,r0.1_seed0;noL5
c70207,r1.3_seed2,r0.1_seed0;noL5
c70208,r1.2_seed0,r0.1_seed0;noL5
c70209,r0.8_seed7,r0.1_seed0;noL5
c70300,r0.5_seed1,auto;noL5
c70301,r0.4_seed8,r0.9_seed5;noL5
c70302,r0.5_seed6,r0.6_seed5;noL5
c70303,r0.4_seed2,auto;noL5
c70304,r0.5_seed5,auto;noL5
c70305,r0.6_seed6,r0.1_seed0;noL5
c70306,r0.2_seed0,auto;noL5
c70400,r0.5_seed1,auto
c70401,r0.8_seed3,r0.1_seed0;noL5
c70402,r0.7_seed5,r0.1_seed0;noL5
c70403,r0.8_seed8,r0.1_seed0;noL5
c70404,r0.7_seed1,r0.1_seed0;noL5
c70500,r0.5_seed7,auto
c70501,r0.6_seed7,r0.1_seed0;noL5
c70502,r0.6_seed7,r0.1_seed0;noL5
c70503,r0.5_seed4,r0.4_seed3;noL5
c70504,r0.8_seed1,r0.1_seed0;noL5
c70505,r0.8_seed3,r0.1_seed0;noL5
c70600,r0.6_seed7,auto
c70601,r0.8_seed5,r0.1_seed0;noL5
c70602,r0.7_seed9,r0.1_seed0;noL5
c70603,r0.9_seed3,r0.1_seed0;noL5
c70604,r0.2_seed0,auto;noL5
c70700,r0.3_seed5,r0.5_seed0;noL5
c70701,r0.6_seed5,r0.1_seed0;noL5
c70800,r0.6_seed2,r0.1_seed0;noL5
c70801,r0.5_seed0,r0.1_seed0;noL5
c70802,r0.6_seed3,auto;noL5;dirty
c70803,r0.6_seed3,r0.1_seed0;noL5
c70804,r1.2_seed1,r0.1_seed0;noL5
c70805,r1.0_seed0,r0.1_seed0;noL5
c70900,r0.7_seed4,r0.1_seed0;noL5
c70901,r0.7_seed8,r0.1_seed0;noL5
c70902,r0.7_seed5,r0.1_seed0;noL5
c70903,r0.3_seed6,auto;noL5
c70904,r0.7_seed8,r0.1_seed0;noL5
c70905,r1.0_seed6,r0.1_seed0;noL5
c70906,r0.6_seed0,r0.1_seed0;noL5
c71000,r0.4_seed9,auto;noL5;dirty
c71001,r0.5_seed0,auto;noL5
c71002,r0.2_seed6,auto;noL5
c71100,r0.6_seed2,r0.1_seed0;noL5
c71200,r0.6_seed8,r0.1_seed0;noL5
c71201,r0.9_seed5,r0.1_seed0;noL5
c8,r0.1_seed0,r0.3_seed0
c80000,r1.4_seed3,auto;noL5
c80001,r0.5_seed7,auto;noL5
c80002,r0.2_seed5,r0.3_seed3;noL5
c80100,r0.4_seed7,auto;noL5
c80101,r0.3_seed8,r0.7_seed0;noL5
c80102,r0.3_seed7,r0.5_seed0;noL5
c80103,r0.2_seed6,r0.5_seed5;noL5
c80104,r0.2_seed9,r0.6_seed4;noL5
c80105,r0.3_seed7,r0.5_seed2;noL5
c80106,r0.4_seed5,auto;noL5
c80107,r0.2_seed0,r0.4_seed0;noL5
c80108,r0.3_seed1,r0.8_seed0;noL5
c80109,r0.2_seed4,r0.3_seed6;noL5
c80110,r0.5_seed3,auto;noL5
c80111,r0.2_seed0,auto;noL5
c80112,r0.4_seed7,r0.7_seed2;noL5
c80113,r0.4_seed0,r0.6_seed0;noL5
c80114,r0.6_seed7,auto;noL5
c80115,r0.4_seed8,auto;noL5
c80116,r0.9_seed3,r0.1_seed0;noL5
c80117,r0.3_seed6,r0.7_seed7;noL5
c80118,r0.4_seed7,auto;noL5
c80119,r0.5_seed9,auto;noL5
c80120,r1.7_seed3,auto;noL5
c80121,r0.3_seed0,auto;noL5
c80122,r0.4_seed7,auto;noL5
c80200,r0.4_seed8,r0.5_seed8;noL5
c80201,r0.4_seed8,auto;noL5
c80202,r0.6_seed0,auto;noL5
c80203,r0.4_seed5,auto;noL5
c80204,r0.8_seed5,auto;noL5
c80205,r0.4_seed5,auto;noL5
c80206,r0.5_seed0,r0.1_seed0;noL5
c80207,r0.4_seed9,auto;noL5
c80208,r1.0_seed7,auto;noL5
c80209,r0.2_seed9,auto;noL5
c80210,r0.4_seed1,r0.6_seed5;noL5
c80211,r0.7_seed4,r0.1_seed0;noL5
c80212,r0.5_seed0,auto;noL5
c80213,r0.2_seed2,r0.4_seed5;noL5
c80214,r0.5_seed0,auto;noL5
c80215,r0.5_seed0,r0.1_seed0;noL5
c80216,r0.4_seed5,auto;noL5
c80217,r0.8_seed7,r0.1_seed0;noL5
c80218,r0.5_seed9,r0.1_seed0;noL5
c80219,r0.6_seed9,r0.1_seed0;noL5
c80220,r0.5_seed7,auto;noL5
c80221,r0.6_seed8,auto;noL5
c80300,r0.4_seed7,r0.5_seed7;noL5
c80301,r0.3_seed3,auto;noL5
c80302,r0.1_seed5,r0.5_seed6;noL5
c80303,r0.5_seed6,auto;noL5
c80304,r0.4_seed1,auto;noL5
c80305,r0.4_seed4,auto;noL5
c80400,r0.1_seed0,r0.5_seed9;noL5
c80401,r0.3_seed8,r0.6_seed2;noL5
c80402,r0.2_seed5,r0.5_seed8;noL5
c80403,r0.6_seed9,r0.1_seed0;noL5
c80404,r0.5_seed8,auto;noL5
c80405,r0.4_seed0,auto;noL5
c80406,r0.5_seed0,auto;noL5
c80500,r0.2_seed5,r1.4_seed2;noL5
c80501,r1.5_seed6,auto;noL5
c80502,r0.5_seed7,auto;noL5
c80503,r0.2_seed2,auto;noL5
c80504,r0.2_seed0,auto;noL5
c80600,r0.4_seed2,auto;noL5
c80601,r0.4_seed9,auto;noL5
c80602,r0.8_seed6,auto;noL5
c80603,r0.3_seed1,r0.6_seed3;noL5
c80700,r0.6_seed1,auto;noL5
c80701,r0.4_seed1,auto;noL5
c80702,r0.3_seed1,auto;noL5
c80703,r0.3_seed3,auto;noL5
c80704,r0.8_seed2,r0.5_seed7;noL5
c80705,r0.2_seed0,auto;noL5
c9,r0.1_seed6,auto
c90000,r1.2_seed8,auto;noL5
c90001,r0.2_seed3,r0.9_seed3;noL5
c90002,r0.3_seed5,r0.5_seed5;noL5
c90100,r0.4_seed8,r0.6_seed8;noL5
c90101,r0.2_seed0,auto;noL5
c90102,r0.6_seed2,r0.1_seed0;noL5
c90103,r0.2_seed0,r0.3_seed8
c90104,r0.4_seed2,auto;noL5
c90200,r0.3_seed1,auto
c90201,r0.4_seed6,auto;noL5
c90202,r0.4_seed8,r0.6_seed1;noL5
c90203,r0.5_seed5,r0.1_seed0;noL5
c90204,r0.7_seed7,r0.1_seed0;noL5
c90205,r0.2_seed0,auto;noL5
c90300,r0.4_seed8,r0.7_seed3;noL5
c90301,r0.4_seed5,auto;noL5
c90302,r0.3_seed0,r0.6_seed1;noL5
c90303,r0.5_seed8,r0.6_seed8;noL5
c90304,r0.4_seed5,auto;noL5
c90305,r0.3_seed5,r0.7_seed5;noL5
c90306,r0.4_seed7,auto;noL5
c90307,r0.8_seed6,auto;noL5
c90308,r0.8_seed8,auto;noL5
c90309,r0.4_seed6,auto;noL5
c90310,r0.4_seed0,r0.8_seed4;noL5
c90311,r0.5_seed1,r0.1_seed0;noL5
c90312,r0.1_seed0,auto;noL5
c90313,r0.4_seed9,auto;noL5
c90400,r0.5_seed8,r0.1_seed0;noL5
c90401,r0.2_seed9,r0.8_seed6;noL5
c90402,r0.5_seed3,auto;noL5
c90403,r0.4_seed1,auto;noL5
c90404,r0.6_seed8,auto;noL5
c90405,r0.4_seed1,auto;noL5
c90500,r0.3_seed6,r0.7_seed8;noL5
c90501,r0.3_seed1,r0.4_seed4;noL5
c90600,r0.2_seed9,r0.4_seed1;noL5
c90601,r0.7_seed8,auto;noL5
c90602,r0.4_seed8,auto;noL5
c90603,r0.3_seed3,auto;noL5
c90604,r0.8_seed6,r0.1_seed0;noL5
c90700,r0.4_seed2,r0.7_seed0;noL5
c90701,r0.5_seed5,auto;noL5
c90702,r0.7_seed4,r0.1_seed0;noL5
c90703,r0.5_seed3,auto;noL5
c90704,r0.6_seed0,r0.1_seed0;noL5
c90705,r0.7_seed1,r0.1_seed0;noL5
c90800,r0.4_seed8,r0.6_seed0;noL5
c90801,r0.3_seed5,auto;noL5
c90802,r0.3_seed5,r0.4_seed8;noL5
c90803,r0.8_seed2,auto;noL5
c90804,r0.3_seed0,r0.5_seed0;noL5
c90900,r0.8_seed2,r0.1_seed0;noL5
c90901,r0.6_seed8,r0.1_seed0;noL5
c90902,r0.5_seed0,auto;noL5
c90903,r1.1_seed7,r0.2_seed0;noL5
c91000,r0.6_seed8,auto;noL5
c91001,r0.6_seed3,auto;noL5
